is_text,czso_short,kodjaz,akrcis,kodcis,ISO_A2,czso_full,admplod,admnepo,ISO_A3
Bělorusko,Bělorusko,CS,CZEMALFA,1186,BY,Běloruská republika,1900-01-01,9999-09-09,BLR
Benin,Benin,CS,CZEMALFA,1186,BJ,Beninská republika,1900-01-01,9999-09-09,BEN
Bermudy,Bermudy,CS,CZEMALFA,1186,BM,Bermudy,1900-01-01,9999-09-09,BMU
Bhútán,Bhútán,CS,CZEMALFA,1186,BT,Bhútánské království,1900-01-01,9999-09-09,BTN
Bolívie,Bolívie,CS,CZEMALFA,1186,BO,Mnohonárodní stát Bolívie,1900-01-01,9999-09-09,BOL
"Bonaire, Svatý Eustach a Saba","Bonaire, Svatý Eustach a Saba",CS,CZEMALFA,1186,BQ,"Bonaire, Svatý Eustach a Saba",2011-07-01,9999-09-09,BES
Bosna a Hercegovina,Bosna a Hercegovina,CS,CZEMALFA,1186,BA,Bosna a Hercegovina,1900-01-01,9999-09-09,BIH
Botswana,Botswana,CS,CZEMALFA,1186,BW,Botswanská republika,1900-01-01,9999-09-09,BWA
Bouvetův ostrov,Bouvetův ostrov,CS,CZEMALFA,1186,BV,Bouvetův ostrov,1900-01-01,9999-09-09,BVT
Brazílie,Brazílie,CS,CZEMALFA,1186,BR,Brazilská federativní republika,1900-01-01,9999-09-09,BRA
Britské indickooceánské území,Britské indickooceánské území,CS,CZEMALFA,1186,IO,Britské území v Indickém oceánu,1900-01-01,9999-09-09,IOT
Britské Panenské ostrovy,Britské Panenské ostrovy,CS,CZEMALFA,1186,VG,Britské Panenské ostrovy,1900-01-01,9999-09-09,VGB
Brunej,Brunej,CS,CZEMALFA,1186,BN,Stát Brunej Darussalam,1900-01-01,9999-09-09,BRN
Bulharsko,Bulharsko,CS,CZEMALFA,1186,BG,Bulharská republika,1900-01-01,9999-09-09,BGR
Burkina Faso,Burkina Faso,CS,CZEMALFA,1186,BF,Burkina Faso,1900-01-01,9999-09-09,BFA
Burundi,Burundi,CS,CZEMALFA,1186,BI,Burundská republika,1900-01-01,9999-09-09,BDI
Cookovy ostrovy,Cookovy ostrovy,CS,CZEMALFA,1186,CK,Cookovy ostrovy,1900-01-01,9999-09-09,COK
Curaçao,Curaçao,CS,CZEMALFA,1186,CW,Země Curaçao,2011-07-01,9999-09-09,CUW
Čad,Čad,CS,CZEMALFA,1186,TD,Čadská republika,1900-01-01,9999-09-09,TCD
Černá Hora,Černá Hora,CS,CZEMALFA,1186,ME,Černá Hora,2006-06-03,9999-09-09,MNE
Česká republika,Česká republika,CS,CZEMALFA,1186,CZ,Česká republika,1900-01-01,9999-09-09,CZE
Čína,Čína,CS,CZEMALFA,1186,CN,Čínská lidová republika,1900-01-01,9999-09-09,CHN
Dánsko,Dánsko,CS,CZEMALFA,1186,DK,Dánské království,1900-01-01,9999-09-09,DNK
Dominika,Dominika,CS,CZEMALFA,1186,DM,Dominické společenství,1900-01-01,9999-09-09,DMA
Dominikánská republika,Dominikánská republika,CS,CZEMALFA,1186,DO,Dominikánská republika,1900-01-01,9999-09-09,DOM
Džibutsko,Džibutsko,CS,CZEMALFA,1186,DJ,Džibutská republika,1900-01-01,9999-09-09,DJI
Egypt,Egypt,CS,CZEMALFA,1186,EG,Egyptská arabská republika,1900-01-01,9999-09-09,EGY
Ekvádor,Ekvádor,CS,CZEMALFA,1186,EC,Ekvádorská republika,1900-01-01,9999-09-09,ECU
Eritrea,Eritrea,CS,CZEMALFA,1186,ER,Stát Eritrea,1994-01-01,9999-09-09,ERI
Estonsko,Estonsko,CS,CZEMALFA,1186,EE,Estonská republika,1900-01-01,9999-09-09,EST
Etiopie,Etiopie,CS,CZEMALFA,1186,ET,Etiopská federativní demokratická republika,1900-01-01,9999-09-09,ETH
Faerské ostrovy,Faerské ostrovy,CS,CZEMALFA,1186,FO,Faerské ostrovy,1900-01-01,9999-09-09,FRO
Falklandy (Malvíny),Falklandy (Malvíny),CS,CZEMALFA,1186,FK,Falklandy (Malvíny),1900-01-01,9999-09-09,FLK
Fidži,Fidži,CS,CZEMALFA,1186,FJ,Fidžijská republika,1900-01-01,9999-09-09,FJI
Filipíny,Filipíny,CS,CZEMALFA,1186,PH,Filipínská republika,1900-01-01,9999-09-09,PHL
Finsko,Finsko,CS,CZEMALFA,1186,FI,Finská republika,1900-01-01,9999-09-09,FIN
Francie,Francie,CS,CZEMALFA,1186,FR,Francouzská republika,1900-01-01,9999-09-09,FRA
Francouzská Guyana,Francouzská Guyana,CS,CZEMALFA,1186,GF,Francouzská Guyana,1900-01-01,9999-09-09,GUF
Francouzská jižní a antarktická území,Francouzská jižní a antarktická území,CS,CZEMALFA,1186,TF,Francouzská jižní a antarktická území,1900-01-01,9999-09-09,ATF
Francouzská Polynésie,Francouzská Polynésie,CS,CZEMALFA,1186,PF,Francouzská Polynésie,1900-01-01,9999-09-09,PYF
Gabon,Gabon,CS,CZEMALFA,1186,GA,Gabonská republika,1900-01-01,9999-09-09,GAB
Gambie,Gambie,CS,CZEMALFA,1186,GM,Gambijská republika,1900-01-01,9999-09-09,GMB
Ghana,Ghana,CS,CZEMALFA,1186,GH,Ghanská republika,1900-01-01,9999-09-09,GHA
Gibraltar,Gibraltar,CS,CZEMALFA,1186,GI,Gibraltar,1900-01-01,9999-09-09,GIB
Grenada,Grenada,CS,CZEMALFA,1186,GD,Grenada,1900-01-01,9999-09-09,GRD
Grónsko,Grónsko,CS,CZEMALFA,1186,GL,Grónsko,1900-01-01,9999-09-09,GRL
Gruzie,Gruzie,CS,CZEMALFA,1186,GE,Gruzie,1900-01-01,9999-09-09,GEO
Guadeloupe,Guadeloupe,CS,CZEMALFA,1186,GP,Region Guadeloupe,1900-01-01,9999-09-09,GLP
Guam,Guam,CS,CZEMALFA,1186,GU,Teritorium Guam,1900-01-01,9999-09-09,GUM
Guatemala,Guatemala,CS,CZEMALFA,1186,GT,Guatemalská republika,1900-01-01,9999-09-09,GTM
Guernsey,Guernsey,CS,CZEMALFA,1186,GG,Bailiwick Guernsey,2006-03-29,9999-09-09,GGY
Guinea,Guinea,CS,CZEMALFA,1186,GN,Guinejská republika,1900-01-01,9999-09-09,GIN
Guinea-Bissau,Guinea-Bissau,CS,CZEMALFA,1186,GW,Republika Guinea-Bissau,1900-01-01,9999-09-09,GNB
Guyana,Guyana,CS,CZEMALFA,1186,GY,Guyanská kooperativní republika,1900-01-01,9999-09-09,GUY
Haiti,Haiti,CS,CZEMALFA,1186,HT,Republika Haiti,1900-01-01,9999-09-09,HTI
Heardův ostrov a MacDonaldovy ostrovy,Heardův ostrov a MacDonaldovy ostrovy,CS,CZEMALFA,1186,HM,Heardův ostrov a MacDonaldovy ostrovy,1900-01-01,9999-09-09,HMD
Honduras,Honduras,CS,CZEMALFA,1186,HN,Honduraská republika,1900-01-01,9999-09-09,HND
Hongkong,Hongkong,CS,CZEMALFA,1186,HK,Zvláštní administrativní oblast Čínské lidové republiky Hongkong,1900-01-01,9999-09-09,HKG
Chile,Chile,CS,CZEMALFA,1186,CL,Chilská republika,1900-01-01,9999-09-09,CHL
Chorvatsko,Chorvatsko,CS,CZEMALFA,1186,HR,Chorvatská republika,1900-01-01,9999-09-09,HRV
Indie,Indie,CS,CZEMALFA,1186,IN,Indická republika,1900-01-01,9999-09-09,IND
Indonésie,Indonésie,CS,CZEMALFA,1186,ID,Indonéská republika,1900-01-01,9999-09-09,IDN
Irák,Irák,CS,CZEMALFA,1186,IQ,Irácká republika,1900-01-01,9999-09-09,IRQ
Írán,Írán,CS,CZEMALFA,1186,IR,Íránská islámská republika,1900-01-01,9999-09-09,IRN
Irsko,Irsko,CS,CZEMALFA,1186,IE,Irsko,1900-01-01,9999-09-09,IRL
Island,Island,CS,CZEMALFA,1186,IS,Islandská republika,1900-01-01,9999-09-09,ISL
Itálie,Itálie,CS,CZEMALFA,1186,IT,Italská republika,1900-01-01,9999-09-09,ITA
Izrael,Izrael,CS,CZEMALFA,1186,IL,Stát Izrael,1900-01-01,9999-09-09,ISR
Jamajka,Jamajka,CS,CZEMALFA,1186,JM,Jamajka,1900-01-01,9999-09-09,JAM
Japonsko,Japonsko,CS,CZEMALFA,1186,JP,Japonsko,1900-01-01,9999-09-09,JPN
Jemen,Jemen,CS,CZEMALFA,1186,YE,Jemenská republika,1900-01-01,9999-09-09,YEM
Jersey,Jersey,CS,CZEMALFA,1186,JE,Bailiwick Jersey,2006-03-29,9999-09-09,JEY
Jižní Afrika,Jižní Afrika,CS,CZEMALFA,1186,ZA,Jihoafrická republika,1900-01-01,9999-09-09,ZAF
Jižní Georgie a Jižní Sandwichovy ostrovy,Jižní Georgie a Jižní Sandwichovy ostrovy,CS,CZEMALFA,1186,GS,Jižní Georgie a Jižní Sandwichovy ostrovy,1994-01-01,9999-09-09,SGS
Jižní Súdán,Jižní Súdán,CS,CZEMALFA,1186,SS,Jihosúdánská republika,2012-01-01,9999-09-09,SSD
Jordánsko,Jordánsko,CS,CZEMALFA,1186,JO,Jordánské hášimovské království,1900-01-01,9999-09-09,JOR
Kajmanské ostrovy,Kajmanské ostrovy,CS,CZEMALFA,1186,KY,Kajmanské ostrovy,1900-01-01,9999-09-09,CYM
Kambodža,Kambodža,CS,CZEMALFA,1186,KH,Kambodžské království,1900-01-01,9999-09-09,KHM
Kamerun,Kamerun,CS,CZEMALFA,1186,CM,Kamerunská republika,1900-01-01,9999-09-09,CMR
Kanada,Kanada,CS,CZEMALFA,1186,CA,Kanada,1900-01-01,9999-09-09,CAN
Kapverdy,Kapverdy,CS,CZEMALFA,1186,CV,Kapverdská republika,1900-01-01,9999-09-09,CPV
Katar,Katar,CS,CZEMALFA,1186,QA,Stát Katar,1900-01-01,9999-09-09,QAT
Kazachstán,Kazachstán,CS,CZEMALFA,1186,KZ,Republika Kazachstán,1900-01-01,9999-09-09,KAZ
Keňa,Keňa,CS,CZEMALFA,1186,KE,Keňská republika,1900-01-01,9999-09-09,KEN
Kiribati,Kiribati,CS,CZEMALFA,1186,KI,Republika Kiribati,1900-01-01,9999-09-09,KIR
Kokosové (Keelingovy) ostrovy,Kokosové (Keelingovy) ostrovy,CS,CZEMALFA,1186,CC,Území Kokosové (Keelingovy) ostrovy,1900-01-01,9999-09-09,CCK
Kolumbie,Kolumbie,CS,CZEMALFA,1186,CO,Kolumbijská republika,1900-01-01,9999-09-09,COL
Komory,Komory,CS,CZEMALFA,1186,KM,Komorský svaz,1900-01-01,9999-09-09,COM
Konžská demokratická republika,Konžská demokratická republika,CS,CZEMALFA,1186,CD,Konžská demokratická republika,1998-01-01,9999-09-09,COD
Konžská republika,Konžská republika,CS,CZEMALFA,1186,CG,Konžská republika,1900-01-01,9999-09-09,COG
Korejská lidově demokratická republika,Korejská lidově demokratická republika,CS,CZEMALFA,1186,KP,Korejská lidově demokratická republika,1900-01-01,9999-09-09,PRK
Korejská republika,Korejská republika,CS,CZEMALFA,1186,KR,Korejská republika,1900-01-01,9999-09-09,KOR
Kosovo,Kosovo,CS,CZEMALFA,1186,XK,Kosovská republika,2011-01-01,9999-09-09,XXK
Kostarika,Kostarika,CS,CZEMALFA,1186,CR,Kostarická republika,1900-01-01,9999-09-09,CRI
Kuba,Kuba,CS,CZEMALFA,1186,CU,Kubánská republika,1900-01-01,9999-09-09,CUB
Kuvajt,Kuvajt,CS,CZEMALFA,1186,KW,Kuvajtský stát,1900-01-01,9999-09-09,KWT
Kypr,Kypr,CS,CZEMALFA,1186,CY,Kyperská republika,1900-01-01,9999-09-09,CYP
Kyrgyzstán,Kyrgyzstán,CS,CZEMALFA,1186,KG,Kyrgyzská republika,1900-01-01,9999-09-09,KGZ
Laos,Laos,CS,CZEMALFA,1186,LA,Laoská lidově demokratická republika,1900-01-01,9999-09-09,LAO
Lesotho,Lesotho,CS,CZEMALFA,1186,LS,Lesothské království,1900-01-01,9999-09-09,LSO
Libanon,Libanon,CS,CZEMALFA,1186,LB,Libanonská republika,1900-01-01,9999-09-09,LBN
Libérie,Libérie,CS,CZEMALFA,1186,LR,Liberijská republika,1900-01-01,9999-09-09,LBR
Libye,Libye,CS,CZEMALFA,1186,LY,Libyjský stát,1900-01-01,9999-09-09,LBY
Lichtenštejnsko,Lichtenštejnsko,CS,CZEMALFA,1186,LI,Lichtenštejnské knížectví,1900-01-01,9999-09-09,LIE
Litva,Litva,CS,CZEMALFA,1186,LT,Litevská republika,1900-01-01,9999-09-09,LTU
Lotyšsko,Lotyšsko,CS,CZEMALFA,1186,LV,Lotyšská republika,1900-01-01,9999-09-09,LVA
Lucembursko,Lucembursko,CS,CZEMALFA,1186,LU,Lucemburské velkovévodství,1900-01-01,9999-09-09,LUX
Macao,Macao,CS,CZEMALFA,1186,MO,Zvláštní administrativní oblast Čínské lidové republiky Macao,1900-01-01,9999-09-09,MAC
Madagaskar,Madagaskar,CS,CZEMALFA,1186,MG,Madagaskarská republika,1900-01-01,9999-09-09,MDG
Maďarsko,Maďarsko,CS,CZEMALFA,1186,HU,Maďarsko,1900-01-01,9999-09-09,HUN
Malajsie,Malajsie,CS,CZEMALFA,1186,MY,Malajsie,1900-01-01,9999-09-09,MYS
Malawi,Malawi,CS,CZEMALFA,1186,MW,Malawiská republika,1900-01-01,9999-09-09,MWI
Maledivy,Maledivy,CS,CZEMALFA,1186,MV,Maledivská republika,1900-01-01,9999-09-09,MDV
Mali,Mali,CS,CZEMALFA,1186,ML,Republika Mali,1900-01-01,9999-09-09,MLI
Malta,Malta,CS,CZEMALFA,1186,MT,Maltská republika,1900-01-01,9999-09-09,MLT
Man,Man,CS,CZEMALFA,1186,IM,Ostrov Man,2006-03-29,9999-09-09,IMN
Maroko,Maroko,CS,CZEMALFA,1186,MA,Marocké království,1900-01-01,9999-09-09,MAR
Marshallovy ostrovy,Marshallovy ostrovy,CS,CZEMALFA,1186,MH,Republika Marshallovy ostrovy,1900-01-01,9999-09-09,MHL
Martinik,Martinik,CS,CZEMALFA,1186,MQ,Martinik,1900-01-01,9999-09-09,MTQ
Mauricius,Mauricius,CS,CZEMALFA,1186,MU,Mauricijská republika,1900-01-01,9999-09-09,MUS
Mauritánie,Mauritánie,CS,CZEMALFA,1186,MR,Mauritánská islámská republika,1900-01-01,9999-09-09,MRT
Mayotte,Mayotte,CS,CZEMALFA,1186,YT,Departement Mayotte,1994-01-01,9999-09-09,MYT
Menší odlehlé ostrovy USA,Menší odlehlé ostrovy USA,CS,CZEMALFA,1186,UM,Menší odlehlé ostrovy USA,1900-01-01,9999-09-09,UMI
Mexiko,Mexiko,CS,CZEMALFA,1186,MX,Spojené státy mexické,1900-01-01,9999-09-09,MEX
Mikronésie,Mikronésie,CS,CZEMALFA,1186,FM,Federativní státy Mikronésie,1900-01-01,9999-09-09,FSM
Moldavsko,Moldavsko,CS,CZEMALFA,1186,MD,Moldavská republika,1900-01-01,9999-09-09,MDA
Monako,Monako,CS,CZEMALFA,1186,MC,Monacké knížectví,1900-01-01,9999-09-09,MCO
Mongolsko,Mongolsko,CS,CZEMALFA,1186,MN,Mongolsko,1900-01-01,9999-09-09,MNG
Montserrat,Montserrat,CS,CZEMALFA,1186,MS,Montserrat,1900-01-01,9999-09-09,MSR
Mosambik,Mosambik,CS,CZEMALFA,1186,MZ,Mosambická republika,1900-01-01,9999-09-09,MOZ
Myanmar,Myanmar,CS,CZEMALFA,1186,MM,Republika Myanmarský svaz,1900-01-01,9999-09-09,MMR
Namibie,Namibie,CS,CZEMALFA,1186,,Namibijská republika,1900-01-01,9999-09-09,NAM
Nauru,Nauru,CS,CZEMALFA,1186,NR,Republika Nauru,1900-01-01,9999-09-09,NRU
Německo,Německo,CS,CZEMALFA,1186,DE,Spolková republika Německo,1900-01-01,9999-09-09,DEU
Nepál,Nepál,CS,CZEMALFA,1186,NP,Nepálská federativní demokratická republika,1900-01-01,9999-09-09,NPL
Niger,Niger,CS,CZEMALFA,1186,NE,Nigerská republika,1900-01-01,9999-09-09,NER
Nigérie,Nigérie,CS,CZEMALFA,1186,NG,Nigerijská federativní republika,1900-01-01,9999-09-09,NGA
Nikaragua,Nikaragua,CS,CZEMALFA,1186,NI,Nikaragujská republika,1900-01-01,9999-09-09,NIC
Niue,Niue,CS,CZEMALFA,1186,NU,Niue,1900-01-01,9999-09-09,NIU
Nizozemské Antily,Nizozemské Antily,CS,CZEMALFA,1186,AN,Nizozemské Antily,1900-01-01,2011-06-30,ANT
Nizozemsko,Nizozemsko,CS,CZEMALFA,1186,NL,Nizozemsko,1900-01-01,9999-09-09,NLD
Norfolk,Norfolk,CS,CZEMALFA,1186,NF,Území Norfolk,1900-01-01,9999-09-09,NFK
Norsko,Norsko,CS,CZEMALFA,1186,NO,Norské království,1900-01-01,9999-09-09,NOR
Nová Kaledonie,Nová Kaledonie,CS,CZEMALFA,1186,NC,Nová Kaledonie,1900-01-01,9999-09-09,NCL
Nový Zéland,Nový Zéland,CS,CZEMALFA,1186,NZ,Nový Zéland,1900-01-01,9999-09-09,NZL
Omán,Omán,CS,CZEMALFA,1186,OM,Sultanát Omán,1900-01-01,9999-09-09,OMN
Pákistán,Pákistán,CS,CZEMALFA,1186,PK,Pákistánská islámská republika,1900-01-01,9999-09-09,PAK
Palau,Palau,CS,CZEMALFA,1186,PW,Republika Palau,1900-01-01,9999-09-09,PLW
Palestina,Palestina,CS,CZEMALFA,1186,PS,Palestinská autonomní území,2002-01-01,9999-09-09,PSE
Panama,Panama,CS,CZEMALFA,1186,PA,Panamská republika,1900-01-01,9999-09-09,PAN
Papua Nová Guinea,Papua Nová Guinea,CS,CZEMALFA,1186,PG,Nezávislý stát Papua Nová Guinea,1900-01-01,9999-09-09,PNG
Paraguay,Paraguay,CS,CZEMALFA,1186,PY,Paraguayská republika,1900-01-01,9999-09-09,PRY
Peru,Peru,CS,CZEMALFA,1186,PE,Peruánská republika,1900-01-01,9999-09-09,PER
Pitcairn,Pitcairn,CS,CZEMALFA,1186,PN,Pitcairnovy ostrovy,1900-01-01,9999-09-09,PCN
Pobřeží slonoviny,Pobřeží slonoviny,CS,CZEMALFA,1186,CI,Republika Pobřeží slonoviny,1900-01-01,9999-09-09,CIV
Polsko,Polsko,CS,CZEMALFA,1186,PL,Polská republika,1900-01-01,9999-09-09,POL
Portoriko,Portoriko,CS,CZEMALFA,1186,PR,Portorické společenství,1900-01-01,9999-09-09,PRI
Portugalsko,Portugalsko,CS,CZEMALFA,1186,PT,Portugalská republika,1900-01-01,9999-09-09,PRT
Rakousko,Rakousko,CS,CZEMALFA,1186,AT,Rakouská republika,1900-01-01,9999-09-09,AUT
Réunion,Réunion,CS,CZEMALFA,1186,RE,Region Réunion,1900-01-01,9999-09-09,REU
Rovníková Guinea,Rovníková Guinea,CS,CZEMALFA,1186,GQ,Republika Rovníková Guinea,1900-01-01,9999-09-09,GNQ
Rumunsko,Rumunsko,CS,CZEMALFA,1186,RO,Rumunsko,1900-01-01,9999-09-09,ROU
Rusko,Rusko,CS,CZEMALFA,1186,RU,Ruská federace,1900-01-01,9999-09-09,RUS
Rwanda,Rwanda,CS,CZEMALFA,1186,RW,Rwandská republika,1900-01-01,9999-09-09,RWA
Řecko,Řecko,CS,CZEMALFA,1186,GR,Řecká republika,1900-01-01,9999-09-09,GRC
Saint Pierre a Miquelon,Saint Pierre a Miquelon,CS,CZEMALFA,1186,PM,Územní společenství Saint Pierre a Miquelon,1900-01-01,9999-09-09,SPM
Salvador,Salvador,CS,CZEMALFA,1186,SV,Salvadorská republika,1900-01-01,9999-09-09,SLV
Samoa,Samoa,CS,CZEMALFA,1186,WS,Nezávislý stát Samoa,1900-01-01,9999-09-09,WSM
San Marino,San Marino,CS,CZEMALFA,1186,SM,Republika San Marino,1900-01-01,9999-09-09,SMR
Saúdská Arábie,Saúdská Arábie,CS,CZEMALFA,1186,SA,Království Saúdská Arábie,1900-01-01,9999-09-09,SAU
Senegal,Senegal,CS,CZEMALFA,1186,SN,Senegalská republika,1900-01-01,9999-09-09,SEN
Severní Makedonie,Severní Makedonie,CS,CZEMALFA,1186,MK,Republika Severní Makedonie,1997-05-30,9999-09-09,MKD
Severní Mariany,Severní Mariany,CS,CZEMALFA,1186,MP,Společenství Severní Mariany,1900-01-01,9999-09-09,MNP
Seychely,Seychely,CS,CZEMALFA,1186,SC,Seychelská republika,1900-01-01,9999-09-09,SYC
Sierra Leone,Sierra Leone,CS,CZEMALFA,1186,SL,Republika Sierra Leone,1900-01-01,9999-09-09,SLE
Singapur,Singapur,CS,CZEMALFA,1186,SG,Singapurská republika,1900-01-01,9999-09-09,SGP
Slovensko,Slovensko,CS,CZEMALFA,1186,SK,Slovenská republika,1900-01-01,9999-09-09,SVK
Slovinsko,Slovinsko,CS,CZEMALFA,1186,SI,Slovinská republika,1900-01-01,9999-09-09,SVN
Somálsko,Somálsko,CS,CZEMALFA,1186,SO,Somálská federativní republika,1900-01-01,9999-09-09,SOM
Spojené arabské emiráty,Spojené arabské emiráty,CS,CZEMALFA,1186,AE,Stát Spojené arabské emiráty,1900-01-01,9999-09-09,ARE
Spojené státy,Spojené státy,CS,CZEMALFA,1186,US,Spojené státy americké,1900-01-01,9999-09-09,USA
Srbsko,Srbsko,CS,CZEMALFA,1186,RS,Srbská republika,2006-06-03,9999-09-09,SRB
Středoafrická republika,Středoafrická republika,CS,CZEMALFA,1186,CF,Středoafrická republika,1900-01-01,9999-09-09,CAF
Súdán,Súdán,CS,CZEMALFA,1186,SD,Súdánská republika,1900-01-01,9999-09-09,SDN
Surinam,Surinam,CS,CZEMALFA,1186,SR,Surinamská republika,1900-01-01,9999-09-09,SUR
Svatá Helena,Svatá Helena,CS,CZEMALFA,1186,SH,"Svatá Helena, Ascension a Tristan da Cunha",1900-01-01,9999-09-09,SHN
Svatá Lucie,Svatá Lucie,CS,CZEMALFA,1186,LC,Svatá Lucie,1900-01-01,9999-09-09,LCA
Svatý Bartoloměj,Svatý Bartoloměj,CS,CZEMALFA,1186,BL,Společenství Svatý Bartoloměj,2007-09-21,9999-09-09,BLM
Svatý Kryštof a Nevis,Svatý Kryštof a Nevis,CS,CZEMALFA,1186,KN,Federace Svatý Kryštof a Nevis,1900-01-01,9999-09-09,KNA
Svatý Martin (FR),Svatý Martin (FR),CS,CZEMALFA,1186,MF,Společenství Svatý Martin,2007-09-21,9999-09-09,MAF
Svatý Martin (NL),Svatý Martin (NL),CS,CZEMALFA,1186,SX,Svatý Martin (NL),2011-07-01,9999-09-09,SXM
Svatý Tomáš a Princův ostrov,Svatý Tomáš a Princův ostrov,CS,CZEMALFA,1186,ST,Demokratická republika Svatý Tomáš a Princův ostrov,1900-01-01,9999-09-09,STP
Svatý Vincenc a Grenadiny,Svatý Vincenc a Grenadiny,CS,CZEMALFA,1186,VC,Svatý Vincenc a Grenadiny,1900-01-01,9999-09-09,VCT
Svazijsko,Svazijsko,CS,CZEMALFA,1186,SZ,Svazijské království,1900-01-01,9999-09-09,SWZ
Sýrie,Sýrie,CS,CZEMALFA,1186,SY,Syrská arabská republika,1900-01-01,9999-09-09,SYR
Šalomounovy ostrovy,Šalomounovy ostrovy,CS,CZEMALFA,1186,SB,Šalomounovy ostrovy,1900-01-01,9999-09-09,SLB
Španělsko,Španělsko,CS,CZEMALFA,1186,ES,Španělské království,1900-01-01,9999-09-09,ESP
Špicberky a Jan Mayen,Špicberky a Jan Mayen,CS,CZEMALFA,1186,SJ,Špicberky a Jan Mayen,1900-01-01,9999-09-09,SJM
Šrí Lanka,Šrí Lanka,CS,CZEMALFA,1186,LK,Šrílanská demokratická socialistická republika,1900-01-01,9999-09-09,LKA
Švédsko,Švédsko,CS,CZEMALFA,1186,SE,Švédské království,1900-01-01,9999-09-09,SWE
Švýcarsko,Švýcarsko,CS,CZEMALFA,1186,CH,Švýcarská konfederace,1900-01-01,9999-09-09,CHE
Tádžikistán,Tádžikistán,CS,CZEMALFA,1186,TJ,Republika Tádžikistán,1900-01-01,9999-09-09,TJK
Tanzanie,Tanzanie,CS,CZEMALFA,1186,TZ,Tanzanská sjednocená republika,1900-01-01,9999-09-09,TZA
Thajsko,Thajsko,CS,CZEMALFA,1186,TH,Thajské království,1900-01-01,9999-09-09,THA
Tchaj-wan,Tchaj-wan,CS,CZEMALFA,1186,TW,Tchaj-wan,1900-01-01,9999-09-09,TWN
Togo,Togo,CS,CZEMALFA,1186,TG,Tožská republika,1900-01-01,9999-09-09,TGO
Tokelau,Tokelau,CS,CZEMALFA,1186,TK,Tokelau,1900-01-01,9999-09-09,TKL
Tonga,Tonga,CS,CZEMALFA,1186,TO,Království Tonga,1900-01-01,9999-09-09,TON
Trinidad a Tobago,Trinidad a Tobago,CS,CZEMALFA,1186,TT,Republika Trinidad a Tobago,1900-01-01,9999-09-09,TTO
Tunisko,Tunisko,CS,CZEMALFA,1186,TN,Tuniská republika,1900-01-01,9999-09-09,TUN
Turecko,Turecko,CS,CZEMALFA,1186,TR,Turecká republika,1900-01-01,9999-09-09,TUR
Turkmenistán,Turkmenistán,CS,CZEMALFA,1186,TM,Turkmenistán,1900-01-01,9999-09-09,TKM
Turks a Caicos,Turks a Caicos,CS,CZEMALFA,1186,TC,Ostrovy Turks a Caicos,1900-01-01,9999-09-09,TCA
